,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,35.0,0.0,35.0,0.0,35.0
2,0.0,75.0,5.0,75.0,0.0,75.0
3,0.0,100.0,35.0,100.0,0.0,100.0
4,0.0,100.0,50.0,100.0,0.0,100.0
5,0.0,100.0,50.0,100.0,0.0,100.0
6,0.0,100.0,50.0,100.0,0.0,100.0
7,0.0,100.0,50.0,100.0,0.0,100.0
8,0.0,100.0,55.00000000000001,100.0,0.0,100.0
9,0.0,100.0,55.00000000000001,100.0,0.0,100.0
10,0.0,100.0,55.00000000000001,100.0,0.0,100.0
11,0.0,100.0,55.00000000000001,100.0,0.0,100.0
12,100.0,100.0,100.0,100.0,100.0,100.0
