,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,100.0,0.0,0.0,0.0,0.0
2,0.0,100.0,0.0,0.0,0.0,0.0
3,0.0,100.0,0.0,0.0,0.0,0.0
4,0.0,100.0,0.0,0.0,0.0,0.0
5,0.0,100.0,0.0,0.0,0.0,0.0
6,0.0,100.0,0.0,0.0,0.0,0.0
7,0.0,100.0,0.0,0.0,0.0,0.0
8,0.0,100.0,0.0,0.0,0.0,0.0
9,0.0,100.0,0.0,0.0,0.0,0.0
10,0.0,100.0,0.0,0.0,0.0,0.0
11,0.0,100.0,0.0,0.0,0.0,0.0
12,0.0,100.0,0.0,0.0,0.0,0.0
13,0.0,100.0,0.0,0.0,0.0,0.0
14,0.0,100.0,0.0,0.0,0.0,0.0
15,0.0,100.0,0.0,0.0,0.0,0.0
16,0.0,100.0,0.0,0.0,0.0,0.0
17,0.0,100.0,0.0,0.0,0.0,0.0
18,0.0,100.0,0.0,0.0,0.0,0.0
19,0.0,100.0,0.0,0.0,0.0,0.0
20,0.0,100.0,0.0,0.0,0.0,0.0
21,13.333333333333334,100.0,0.0,0.0,0.0,0.0
22,13.333333333333334,100.0,0.0,0.0,0.0,0.0
23,13.333333333333334,100.0,0.0,0.0,0.0,0.0
24,13.333333333333334,100.0,0.0,0.0,0.0,0.0
25,13.333333333333334,100.0,0.0,0.0,0.0,0.0
26,13.333333333333334,100.0,0.0,0.0,0.0,0.0
27,13.333333333333334,100.0,0.0,0.0,0.0,0.0
28,13.333333333333334,100.0,0.0,0.0,0.0,0.0
29,13.333333333333334,100.0,0.0,0.0,0.0,0.0
30,13.333333333333334,100.0,0.0,0.0,0.0,0.0
31,100.0,100.0,100.0,100.0,100.0,100.0
