,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,100.0,14.814814814814813,100.0,0.0
2,0.0,0.0,100.0,85.18518518518519,100.0,0.0
3,0.0,0.0,100.0,96.29629629629629,100.0,0.0
4,100.0,100.0,100.0,96.29629629629629,100.0,0.0
5,100.0,100.0,100.0,96.29629629629629,100.0,0.0
6,100.0,100.0,100.0,96.29629629629629,100.0,0.0
7,100.0,100.0,100.0,96.29629629629629,100.0,0.0
8,100.0,100.0,100.0,96.29629629629629,100.0,0.0
9,100.0,100.0,100.0,96.29629629629629,100.0,0.0
10,100.0,100.0,100.0,96.29629629629629,100.0,0.0
11,100.0,100.0,100.0,100.0,100.0,0.0
12,100.0,100.0,100.0,100.0,100.0,0.0
13,100.0,100.0,100.0,100.0,100.0,0.0
14,100.0,100.0,100.0,100.0,100.0,0.0
15,100.0,100.0,100.0,100.0,100.0,0.0
16,100.0,100.0,100.0,100.0,100.0,0.0
17,100.0,100.0,100.0,100.0,100.0,0.0
18,100.0,100.0,100.0,100.0,100.0,0.0
19,100.0,100.0,100.0,100.0,100.0,0.0
20,100.0,100.0,100.0,100.0,100.0,0.0
21,100.0,100.0,100.0,100.0,100.0,0.0
22,100.0,100.0,100.0,100.0,100.0,0.0
23,100.0,100.0,100.0,100.0,100.0,0.0
24,100.0,100.0,100.0,100.0,100.0,0.0
25,100.0,100.0,100.0,100.0,100.0,0.0
26,100.0,100.0,100.0,100.0,100.0,0.0
27,100.0,100.0,100.0,100.0,100.0,0.0
28,100.0,100.0,100.0,100.0,100.0,0.0
29,100.0,100.0,100.0,100.0,100.0,100.0
