,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,100.0,0.0,100.0,0.0,100.0
2,0.0,100.0,19.230769230769234,100.0,0.0,100.0
3,0.0,100.0,26.923076923076923,100.0,0.0,100.0
4,0.0,100.0,26.923076923076923,100.0,0.0,100.0
5,0.0,100.0,38.46153846153847,100.0,0.0,100.0
6,0.0,100.0,73.07692307692307,100.0,0.0,100.0
7,0.0,100.0,84.61538461538461,100.0,0.0,100.0
8,100.0,100.0,88.46153846153845,100.0,0.0,100.0
9,100.0,100.0,92.3076923076923,100.0,0.0,100.0
10,100.0,100.0,92.3076923076923,100.0,0.0,100.0
11,100.0,100.0,100.0,100.0,0.0,100.0
12,100.0,100.0,100.0,100.0,0.0,100.0
13,100.0,100.0,100.0,100.0,0.0,100.0
14,100.0,100.0,100.0,100.0,0.0,100.0
15,100.0,100.0,100.0,100.0,0.0,100.0
16,100.0,100.0,100.0,100.0,0.0,100.0
17,100.0,100.0,100.0,100.0,0.0,100.0
18,100.0,100.0,100.0,100.0,0.0,100.0
19,100.0,100.0,100.0,100.0,0.0,100.0
20,100.0,100.0,100.0,100.0,0.0,100.0
21,100.0,100.0,100.0,100.0,0.0,100.0
22,100.0,100.0,100.0,100.0,0.0,100.0
23,100.0,100.0,100.0,100.0,0.0,100.0
24,100.0,100.0,100.0,100.0,0.0,100.0
25,100.0,100.0,100.0,100.0,0.0,100.0
26,100.0,100.0,100.0,100.0,0.0,100.0
27,100.0,100.0,100.0,100.0,0.0,100.0
28,100.0,100.0,100.0,100.0,0.0,100.0
29,100.0,100.0,100.0,100.0,0.0,100.0
30,100.0,100.0,100.0,100.0,0.0,100.0
31,100.0,100.0,100.0,100.0,0.0,100.0
32,100.0,100.0,100.0,100.0,0.0,100.0
33,100.0,100.0,100.0,100.0,0.0,100.0
34,100.0,100.0,100.0,100.0,0.0,100.0
35,100.0,100.0,100.0,100.0,0.0,100.0
36,100.0,100.0,100.0,100.0,0.0,100.0
37,100.0,100.0,100.0,100.0,0.0,100.0
38,100.0,100.0,100.0,100.0,100.0,100.0
